confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
BAJA,2079804079,Lindo Depto 3d 2b En Ñuñoa A Pasos De Metro Y Portal Ñuñoa,nunoa,departamento,arriendo,16.89,690000.0,70,75,,,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2079804079-lindo-depto-3d-2b-en-nunoa-a-pasos-de-metro-y-portal-nunoa-_JM
BAJA,4120779210,Departamento Con Estacionamiento Cercano A Plaza Ñuñoa,nunoa,departamento,arriendo,18.85,770000.0,76,76,3,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4120779210-departamento-con-estacionamiento-cercano-a-plaza-nunoa-_JM
BAJA,4152910786,Depto Barrio Italia,nunoa,departamento,arriendo,17.63,720000.0,65,70,,,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4152910786-depto-barrio-italia-_JM
BAJA,4145334098,Acogedor Departamento Amoblado 1d / 1b Alto Alessandri Ñuñoa,nunoa,departamento,arriendo,13.22,540000.0,32,38,,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4145334098-acogedor-departamento-amoblado-1d-1b-alto-alessandri-nunoa-_JM
BAJA,4210801140,Luminoso Depto En Ñuñoa,nunoa,departamento,arriendo,12.73,520000.0,42,42,2,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4210801140-luminoso-depto-en-nunoa-_JM
BAJA,2062111315,Depto Ñuñoa,nunoa,departamento,arriendo,17.63,720000.0,57,57,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2062111315-depto-nunoa-_JM
BAJA,4164773882,"A 2 Cuadras De Av. Alessandri( Macul), Solicita 3 Últimas Li",nunoa,departamento,arriendo,15.91,650000.0,1,1,,,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4164773882-a-2-cuadras-de-av-alessandri-macul-solicita-3-ultimas-li-_JM
BAJA,4187138478,Departamento,nunoa,departamento,arriendo,9.79,400000.0,60,60,,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4187138478-departamento-_JM
BAJA,4164896192,"Depto 1d + 1 B + Estacionamiento, Vista Despejada Norte",nunoa,departamento,arriendo,13.96,570000.0,43,43,,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4164896192-depto-1d-1-b-estacionamiento-vista-despejada-norte-_JM
BAJA,4152876850,"Departamento Luminoso, Cercana Al Metro, Vista Despejada.",nunoa,departamento,arriendo,14.0,571827,34,40,,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4152876850-departamento-luminoso-cercana-al-metro-vista-despejada-_JM
BAJA,4130753988,"Departamento, Salvador Sur",nunoa,departamento,arriendo,17.87,730000.0,100,100,,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4130753988-departamento-salvador-sur-_JM
