id_eliminado,id_conservado,confianza,titulo_eliminado,precio_uf_eliminado,precio_clp_eliminado,m2_util,direccion,url
1982230169,3991426884,ALTA,"Depto. 147 Mt2 Sector El Llano, San Miguel",8100.0,330842799,111,"Bartolo Soto, 3900 - 4200, El Llano, San Miguel",https://portalinmobiliario.com/MLC-1982230169-depto-147-mt2-sector-el-llano-san-miguel-_JM
2013049615,3991426884,ALTA,Se Vende Amplio Depto. Terraza De 36m²  2 Estac. San Miguel,7950.0,324716080,111,"Bartolo Soto 3900 - 4200, San Miguel, El Llano, San Miguel",https://portalinmobiliario.com/MLC-2013049615-se-vende-amplio-depto-terraza-de-36m-2-estac-san-miguel-_JM
4146264202,4091135446,ALTA,"Oportunidad Unica 2hab. 2baños, 1est. Y 1bod",3290.0,134379359,52,"Metro Franklin , Linea 2 Y Linea 6, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4146264202-oportunidad-unica-2hab-2banos-1est-y-1bod-_JM
4213159244,4091135446,ALTA,Departamento En Venta De 2 Dorm. En San Miguel,3290.0,134379359,52,"Milán / Metro Franklin, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4213159244-departamento-en-venta-de-2-dorm-en-san-miguel-_JM
4188218682,2020552699,ALTA,Se Vende Departamento 2d + 2b + E Y B. Metro San Miguel,3390.0,138463838,48,"Av. Salesianos 1190, Santiago, San Miguel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-4188218682-se-vende-departamento-2d-2b-e-y-b-metro-san-miguel-_JM
2074081265,2020552699,ALTA,"Depto En El Llano Subercaseaux, San Miguel",3750.0,153167962,48,"Av. Salesianos 900 - 1200, Santiago, San Miguel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-2074081265-depto-en-el-llano-subercaseaux-san-miguel-_JM
1996219681,3742201910,ALTA,A Pasos De Metro San Miguel/jumbo,2700.0,110280933,50,"Alcalde Pedro Alarcón 900 - 1200, San Miguel, El Llano, San Miguel",https://portalinmobiliario.com/MLC-1996219681-a-pasos-de-metro-san-migueljumbo-_JM
4230682746,3742201910,ALTA,"Dpto 2d2b, A Pasos De Metro San Miguel, Mall Portal El Llano",2700.0,110280933,50,"DPTO 2D2B, A PASOS DE METRO SAN MIGUEL, MALL PORTAL EL LLANO, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4230682746-dpto-2d2b-a-pasos-de-metro-san-miguel-mall-portal-el-llano-_JM
4146271024,3619745254,ALTA,Depto 2d2b Remodelado En Excelente Ubicación (174063),3182.78,130000000.0,48,"Gran Av. José Miguel Carrera 5700 - 6000, San Miguel, Chile, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4146271024-depto-2d2b-remodelado-en-excelente-ubicacion-174063-_JM
2039845599,3619745254,ALTA,Tu Nuevo Hogar Cerca Del Metro (168322),3060.37,125000000.0,48,"Gran Avenida José Miguel Carrera, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-2039845599-tu-nuevo-hogar-cerca-del-metro-168322-_JM
1975383597,1946981765,ALTA,Departamento En Venta De 3 Dorm. En San Miguel,3220.0,131520224,63,"Lo Ovalle, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-1975383597-departamento-en-venta-de-3-dorm-en-san-miguel-_JM
4093498272,1946981765,ALTA,Amplio Depto 3d Con Estacionamiento Propio,3220.0,131520224,63,"Gran Avenida, 6000 - 6300, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4093498272-amplio-depto-3d-con-estacionamiento-propio-_JM
3733539314,4210791064,ALTA,Departamento San Nicolás Id: 159361,3750.0,153167962,63,"San Nicolás, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-3733539314-departamento-san-nicolas-id-159361-_JM
4223648162,4210791064,ALTA,Departamento En Venta De 3 Dorm. En San Miguel,3950.0,161336920,63,"Se Vende Departamento 3 Dormitorios San Miguel, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-4223648162-departamento-en-venta-de-3-dorm-en-san-miguel-_JM
1949781247,3562469170,ALTA,Departamento Avenida Salesianos Id: 170189,2890.0,118041443,54,"Avenida Salesianos, Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-1949781247-departamento-avenida-salesianos-id-170189-_JM
3968645908,3562469170,ALTA,Depto En Venta De 2 Dorm. En San Miguel / Estac. Y Bodega,2890.0,118041443,54,"Avenida Salesianos (HM_170189), Lo Vial, San Miguel",https://portalinmobiliario.com/MLC-3968645908-depto-en-venta-de-2-dorm-en-san-miguel-estac-y-bodega-_JM
4223501212,3585338656,ALTA,Departamento En Venta De 2 Dorm 1 Estacionamiento 1 Bodega,2950.0,120492130,56,"Departamento 2 Dormitorios 1 Estacionamiento 1 Bodega, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4223501212-departamento-en-venta-de-2-dorm-1-estacionamiento-1-bodega-_JM
4202056394,3585338656,ALTA,Venta Amplio Dpto San Miguel Cocina Separada (171073),2990.0,122125922,54,"María Auxiliadora, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4202056394-venta-amplio-dpto-san-miguel-cocina-separada-171073-_JM
4168118714,2018361969,ALTA,Depto. En Llano Subercaseaux 3359 San Miguel C/estac Y Bodeg,3450.0,140914526,53,"Llano Subercaseaux 3359, Santiago, San Miguel, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4168118714-depto-en-llano-subercaseaux-3359-san-miguel-cestac-y-bodeg-_JM
4172999974,2018361969,ALTA,Departamento En Venta Llano Subercaseaux San Miguel,3450.0,140914526,53,"Llano Subercaseaux 3359, El Llano, San Miguel",https://portalinmobiliario.com/MLC-4172999974-departamento-en-venta-llano-subercaseaux-san-miguel-_JM
2035145833,2035107189,ALTA,Excelente Ubicación Y Conectividad (173839),2760.0,112731620,55,"Primera Transversal 5700 - 6000, San Miguel, Chile, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-2035145833-excelente-ubicacion-y-conectividad-173839-_JM
4126169080,2035107189,ALTA,Excelente Ubicación Y Conectividad (173119),2760.0,112731620,55,"Primera Transversal 5700 - 6000, San Miguel, Chile, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-4126169080-excelente-ubicacion-y-conectividad-173119-_JM
2020675191,2037597529,ALTA,Departamento En Venta Edificio Santa Rosa 2 San Miguel,2400.0,98027496,47,"Av. Sta. Rosa 5741, San Miguel, Ciudad Del Niño, San Miguel",https://portalinmobiliario.com/MLC-2020675191-departamento-en-venta-edificio-santa-rosa-2-san-miguel-_JM
